gene,score,logfoldchange,pval,pval_adj,pct_in,pct_out,cluster
LGALS4,25.797878,0.78704315,9.366539649313618e-147,8.804156997869413e-144,0.007293354943273906,0.008786991213008787,1
C19orf70,24.303286,1.2280384,1.8096640740406675e-130,1.6329684738513368e-127,0.0,0.000302999697000303,1
BSG,24.138527,0.9944663,9.854330098230041e-129,8.550147410998904e-126,0.005672609400324149,0.02918897081102919,1
C19orf33,23.965788,1.133113,6.3260197539006985e-127,5.285506652897995e-124,0.20907617504051865,0.26785173214826785,1
LGALS2,23.934908,1.9350091,1.3270115952934847e-126,1.0691448063652044e-123,0.1547811993517018,0.360973639026361,1
CKB,23.62283,1.1649479,2.2460188261854307e-123,1.7471702999971427e-120,0.04376012965964344,0.06676093323906676,1
CYC1,23.554817,1.0608687,1.1205022804012608e-122,8.425803647857348e-120,0.0,0.011715988284011715,1
CTSD,23.441284,1.0513989,1.6222156734013278e-121,1.1805020443955018e-118,0.0,0.000302999697000303,1
ATP5G3,23.399858,0.6753394,4.287741539410804e-121,3.0227237933615105e-118,0.11021069692058347,0.06292293707706292,1
ASL,23.307932,1.4324982,3.683856762913605e-120,2.518306809532364e-117,0.06645056726094004,0.05524694475305525,1
ATP5I,23.154434,0.705502,1.3116624650795672e-118,8.702880455802929e-116,0.009724473257698542,0.026865973134026867,1
ROMO1,22.957685,0.9803458,1.2347737555548086e-116,7.958646043303122e-114,0.0024311183144246355,0.004140995859004141,1
NDUFB10,22.907484,0.9359118,3.91306192972969e-116,2.4520767797992243e-113,0.0024311183144246355,0.035955964044035955,1
CES2,22.726572,1.3790873,2.4470706758916446e-114,1.491985604795665e-111,0.0008103727714748784,0.014947985052014948,1
IER3,22.470484,0.9867053,8.0706498201317985e-112,4.791204981377716e-109,0.47893030794165314,0.4374305625694374,1
KRT18,22.387718,0.71094066,5.184609437416806e-111,2.998964212786813e-108,0.011345218800648298,0.029996970003029998,1
KRT8,22.359253,0.658883,9.814180931324427e-111,5.5349526907436934e-108,0.2925445705024311,0.17513382486617513,1
AMN,22.274336,1.2506516,6.554180258200548e-110,3.6062378645060044e-107,0.0,0.000302999697000303,1
PIGR,22.03312,0.7184543,1.386877567452801e-107,7.275946754457614e-105,0.1094003241491086,0.170992829007171,1
CHP2,21.864843,1.824523,5.615664307890861e-106,2.879176616402499e-103,0.004862236628849271,0.004544995455004545,1
CDHR5,21.654806,1.4860123,5.4760905135308387e-104,2.74522501988316e-101,0.10048622366288493,0.08261791738208261,1
MAP2K2,21.570724,1.3628445,3.3834691877511594e-103,1.659297421879965e-100,0.05186385737439222,0.08776891223108776,1
C4orf48,21.455887,1.3058159,4.023569399843981e-102,1.9312277040655395e-99,0.24716369529983792,0.21422078577921422,1
MVP,21.398207,1.21925,1.3884876139226296e-101,6.525602517183458e-99,0.39708265802269044,0.22765377234622766,1
NDUFS6,21.38118,0.83196735,2.00010642843089e-101,9.208245085504582e-99,0.0008103727714748784,0.000403999596000404,1
DSP,21.185976,1.269374,1.2863484972819122e-99,5.689948186310325e-97,0.10696920583468396,0.11382688617311383,1
MRPL12,21.118057,1.2019297,5.428240292318125e-99,2.35491678373855e-96,0.8962722852512156,0.7694172305827695,1
LGALS3,21.013592,0.7530326,4.9263870185984296e-98,2.0968748066521128e-95,0.15640194489465153,0.1814968185031815,1
SLC26A3,45.722145,3.390742,0.0,0.0,0.0,0.0008979347500748278,2
AQP8,44.79424,4.517646,0.0,0.0,0.0008992805755395684,0.00039908211114436795,2
LINC01133,44.70548,3.7598746,0.0,0.0,0.0,0.000598623166716552,2
MS4A12,44.303417,3.6775138,0.0,0.0,0.0,0.002394492666866208,2
GUCA2A,44.186913,3.260042,0.0,0.0,0.0,0.00039908211114436795,2
PRDX6,43.027588,2.2956269,0.0,0.0,0.48741007194244607,0.4581462635937344,2
CEACAM7,42.93232,3.516274,0.0,0.0,0.02877697841726619,0.024443779307592537,2
PLAC8,41.55013,2.7962546,0.0,0.0,0.11420863309352518,0.053776314476703585,2
MYL12B,41.53685,1.5635064,0.0,0.0,0.007194244604316547,0.005786690611593336,2
SLC51B,41.50961,3.6724231,0.0,0.0,0.8741007194244604,0.7062755661977452,2
SLC26A2,41.420574,3.1095338,0.0,0.0,0.04946043165467626,0.05826598822707772,2
FXYD3,41.096024,1.4521121,0.0,0.0,0.0017985611510791368,0.0007981642222887359,2
CDKN2B-AS1,40.79033,3.636802,0.0,0.0,0.0044964028776978415,0.008480494861817818,2
PKIB,40.339455,2.8278973,0.0,0.0,0.0017985611510791368,0.0036915095280854035,2
